sim_time_seconds,generated_cases,active_emergencies,available_ambulances,open_hospital_beds,saved_cases,delayed_cases,completed_cases,avg_response_min,last_optimized_route_min,last_normal_route_min
0.1,0,0,3,9,0,0,0,0.0,0.0,0.0
2.0,1,1,2,8,0,0,0,0.0,0.0,0.0
4.0,1,1,2,8,0,0,0,0.0,0.0,0.0
6.0,2,1,1,8,1,0,1,1.04,8.38,8.38
8.0,3,2,0,8,1,0,1,1.04,2.17,2.17
10.0,3,2,1,6,1,0,1,1.04,2.17,2.17
10.1,3,2,1,6,1,0,1,1.04,2.17,2.17
12.0,4,2,0,6,2,0,2,2.64,19.46,27.97
14.0,4,2,0,6,2,0,2,2.64,19.46,27.97
16.0,6,3,1,6,3,0,3,2.34,19.46,27.97
18.0,6,3,0,6,3,0,3,2.34,4.59,4.65
20.0,6,3,0,4,3,0,3,2.34,4.59,4.65
20.1,6,3,0,4,3,0,3,2.34,4.59,4.65
22.0,7,3,1,4,4,0,4,2.65,4.59,4.65
24.0,7,3,0,4,4,0,4,2.65,5.79,5.79
26.0,8,3,0,3,4,1,5,4.53,5.55,5.55
28.0,8,3,0,3,4,1,5,4.53,5.55,5.55
30.0,9,4,0,2,4,1,5,4.53,5.55,5.55
30.1,9,4,0,2,4,1,5,4.53,5.55,5.55
32.0,9,4,1,2,4,1,5,4.53,5.55,5.55
34.0,9,2,0,3,6,1,7,4.23,4.9,4.9
36.0,10,3,0,3,6,1,7,4.23,4.9,4.9
38.0,10,2,0,2,7,1,8,4.33,5.76,5.95
40.0,10,2,0,3,7,1,8,4.33,5.76,5.95
40.1,11,3,0,3,7,1,8,4.33,5.76,5.95
42.0,11,3,0,2,7,1,8,4.33,11.5,11.5
44.0,11,2,1,3,8,1,9,4.59,11.5,11.5
46.0,12,3,0,3,8,1,9,4.59,13.6,13.6
48.0,13,4,0,4,8,1,9,4.59,4.49,4.49
50.0,13,4,0,3,8,1,9,4.59,4.49,4.49
50.1,13,4,0,2,8,1,9,4.59,4.49,4.49
52.0,13,4,0,2,8,1,9,4.59,4.49,4.49
54.0,14,4,0,2,9,1,10,4.51,4.49,4.49
56.0,14,4,0,1,9,1,10,4.51,4.49,4.49
58.0,14,3,0,1,10,1,11,5.17,6.58,9.97
60.0,14,3,0,1,10,1,11,5.17,6.58,9.97
60.1,14,3,0,2,10,1,11,5.17,6.58,9.97
62.0,15,3,0,2,10,2,12,5.83,6.58,9.97
64.0,15,2,0,2,11,2,13,5.85,15.63,15.63
66.0,16,3,0,3,11,2,13,5.85,15.63,15.63
68.0,17,4,0,3,11,2,13,5.85,8.65,8.65
70.0,17,4,0,4,11,2,13,5.85,14.43,14.43
70.1,17,4,0,4,11,2,13,5.85,14.43,14.43
72.0,17,4,0,2,11,2,13,5.85,14.43,14.43
74.0,18,5,0,2,11,2,13,5.85,14.43,14.43
76.0,18,3,0,1,12,3,15,6.57,14.43,14.43
78.0,18,2,0,1,13,3,16,6.75,14.43,14.43
80.0,18,2,0,1,13,3,16,6.75,8.86,8.86
80.1,18,2,0,1,13,3,16,6.75,8.86,8.86
82.0,20,4,0,2,13,3,16,6.75,4.49,4.49
84.0,20,4,0,2,13,3,16,6.75,4.49,4.49
86.0,20,4,0,2,13,3,16,6.75,4.49,4.49
88.0,21,4,0,1,14,3,17,6.57,4.49,4.49
90.0,21,4,0,1,14,3,17,6.57,9.85,18.35
90.1,21,4,0,1,14,3,17,6.57,9.85,18.35
92.0,21,4,0,1,14,3,17,6.57,9.85,18.35
94.0,21,4,0,2,14,3,17,6.57,23.5,28.23
96.0,22,4,0,2,15,3,18,6.56,23.5,28.23
98.0,22,4,0,3,15,3,18,6.56,23.5,28.23
100.0,22,4,0,4,15,3,18,6.56,9.97,9.97
100.1,22,4,0,4,15,3,18,6.56,9.97,9.97
102.0,23,4,0,4,16,3,19,6.63,9.97,9.97
104.0,23,3,0,2,17,3,20,6.59,9.97,9.97
106.0,23,3,0,2,17,3,20,6.59,9.97,9.97
108.0,24,4,0,2,17,3,20,6.59,9.97,9.97
110.0,24,3,0,2,18,3,21,6.81,5.22,5.22
110.1,24,3,0,2,18,3,21,6.81,5.22,5.22
112.0,24,3,0,0,18,3,21,6.81,5.22,5.22
114.0,25,4,0,0,18,3,21,6.81,5.22,5.22
116.0,25,3,0,1,19,3,22,6.65,12.87,12.87
118.0,25,2,0,3,20,3,23,6.52,12.87,12.87
120.0,26,3,0,3,20,3,23,6.52,12.87,12.87
120.1,26,3,0,3,20,3,23,6.52,12.87,12.87
122.0,26,3,1,2,20,3,23,6.52,12.87,12.87
124.0,26,2,0,3,21,3,24,6.54,14.95,14.95
126.0,27,3,0,3,21,3,24,6.54,14.95,14.95
128.0,28,4,1,2,21,3,24,6.54,14.95,14.95
130.0,28,4,0,1,21,3,24,6.54,28.15,34.49
130.1,28,4,0,1,21,3,24,6.54,28.15,34.49
