distance_km,traffic_level,road_block,ambulance_speed_kmph,emergency_severity,arrival_time_min
6.205,2,0,51.05,4,11.656
0.674,2,0,50.33,5,0.8
2.139,2,0,45.86,3,5.516
1.822,1,0,53.99,4,3.015
1.748,3,0,51.71,1,4.525
7.346,2,0,32.87,2,22.332
8.325,2,0,38.8,5,21.654
2.634,1,0,53.37,1,4.284
7.414,3,0,55.37,3,20.839
8.031,3,0,53.23,1,23.418
4.714,1,1,51.58,4,9.386
2.356,3,0,54.78,5,6.388
7.453,3,0,28.0,2,39.204
2.081,2,0,40.77,5,5.868
6.725,1,0,47.25,3,8.324
5.743,1,1,45.75,2,17.816
8.361,1,0,45.88,2,13.392
2.241,1,0,48.29,3,3.751
7.232,1,0,45.49,3,10.656
4.76,2,0,47.73,5,9.457
2.238,2,0,41.91,2,5.805
1.66,3,0,45.57,2,6.214
4.581,3,0,50.77,5,13.573
5.328,1,0,47.87,3,6.06
1.822,3,0,45.3,5,5.256
0.331,2,0,49.99,3,2.25
4.346,1,1,53.54,2,9.319
6.609,3,0,39.16,5,25.247
8.284,1,0,47.41,2,10.174
5.705,2,0,43.33,5,11.629
8.271,2,1,50.67,3,22.292
7.809,3,0,47.96,4,22.713
2.12,1,0,50.82,3,2.578
7.822,1,1,51.77,3,13.553
6.631,2,0,43.28,3,15.535
2.645,2,0,49.13,4,5.05
7.214,2,0,36.59,1,19.726
7.814,2,0,42.55,4,18.312
2.835,2,1,42.57,4,13.577
4.838,1,0,40.36,3,6.943
0.829,2,0,64.59,5,1.227
5.332,1,1,34.46,2,14.793
2.294,1,0,51.55,5,3.743
6.932,1,0,42.52,4,11.158
1.728,1,0,43.87,1,2.014
2.952,2,0,58.09,5,4.373
0.327,2,0,47.57,1,1.12
0.486,2,0,36.94,5,1.022
4.571,2,0,54.01,3,7.913
4.321,2,0,50.75,1,8.242
1.324,1,0,40.82,2,2.941
2.467,2,0,40.43,2,7.459
0.228,3,0,50.63,4,0.8
3.553,1,0,32.49,3,8.04
5.268,2,0,45.8,5,11.072
3.96,2,0,37.15,1,10.664
7.549,2,0,45.69,2,16.198
5.625,2,0,49.35,5,10.454
2.542,1,0,48.14,3,3.976
7.337,2,0,49.9,4,15.247
4.595,3,0,40.86,5,14.834
6.878,3,0,44.37,1,24.523
5.182,3,0,53.53,3,15.073
4.049,1,1,46.32,2,13.025
3.686,1,0,42.28,3,5.474
0.396,1,0,56.92,1,1.802
4.33,2,0,45.51,3,9.658
5.687,2,0,45.55,5,10.466
8.526,1,0,41.49,5,12.172
4.031,1,0,51.21,3,4.203
4.474,3,0,50.28,2,13.701
4.768,1,0,44.51,1,6.576
3.796,1,0,58.54,1,4.478
5.293,1,0,57.14,5,4.737
0.819,2,0,43.62,5,3.106
4.498,3,0,53.07,3,12.444
5.569,3,1,44.61,3,22.001
6.746,1,0,48.53,4,7.094
3.983,1,0,45.11,2,6.046
2.865,2,1,61.09,3,9.557
0.252,1,0,43.0,1,1.281
6.857,2,0,54.82,3,11.41
0.883,3,0,53.63,3,3.209
4.512,3,0,53.26,4,12.466
2.878,2,0,43.17,5,5.734
7.599,1,0,56.2,5,8.213
8.564,1,0,52.99,4,10.15
3.006,2,0,50.08,5,6.906
8.1,1,0,49.78,4,9.608
3.17,3,0,53.86,3,8.716
7.347,1,0,46.01,3,10.66
7.23,2,0,56.47,3,12.746
5.967,2,0,49.41,5,12.57
2.213,3,0,53.89,1,5.911
1.412,3,0,54.22,3,5.064
3.934,1,0,51.89,3,4.434
1.534,1,0,45.53,2,3.354
7.885,1,0,49.87,4,10.117
1.776,1,0,36.37,2,4.196
0.467,1,0,42.41,1,1.95
5.121,1,0,48.12,2,7.506
3.973,1,0,49.88,3,4.004
7.756,1,0,46.04,4,9.071
1.615,3,0,54.96,1,5.529
